t,replicate,V,V_Camostat,V_AmphoB
24,1,10000,1500,185000
24,2,9000,2500,21000
24,3,8500,25,11500
48,1,30000,25,1150000
48,2,60000,25,3200000
48,3,270000,25,2800000
72,1,800000,25,400000
72,2,400000,25,850000
72,3,400000,25,500000
-1,1,6000,6000,6000
-1,2,6000,6000,6000
-1,3,6000,6000,6000
