replicate,t,V_no_drug,V_Camostat
1,-1,140000,140000
1,18,5000,0
1,24,40000,0
1,48,50000000,0
1,72,36000000,0
2,18,3000,10
2,24,50000,0
2,48,42000000,0
2,72,32000000,0
3,18,2000,10
3,24,20000,0
3,48,20000000,0
3,72,19000000,0
1,0,1,1
2,0,1,1
3,0,1,1
