t,replicate,V,V_Camostat,V_AmphoB
24,1,90000,25,110000
24,2,45000,25,90000
24,3,80000,450,85000
48,1,2500000,25,2000000
48,2,1150000,25,4500000
48,3,3000000,350,1100000
72,1,4500000,25,550000
72,2,1000000,25,950000
72,3,9500000,25,1050000
-1,1,10000,10000,10000
-1,2,10000,10000,10000
-1,3,10000,10000,10000
